Name,Size,Cost,Category,Sales,Year
Kamias,Medium,100,Tree,3700,2021
Kalamasi,Medium,120,Tree,5060,2021
Papaya,Small,50,Tree,2500,2021
Tundan,Small,80,Tree,3400,2021
Lakatan,Small,150,Tree,9500,2021
Rambutan,Medium,250,Tree,4250,2021
Suha,Small,130,Tree,2950,2021
Atis,Medium,130,Tree,3370,2021
Guyabano,Medium,100,Tree,2800,2021
Lemon,Large,100,Tree,2300,2021
Dalanghita,Small,130,Tree,3620,2021
Langka,Medium,100,Tree,2800,2021
Duhat,Large,130,Tree,3420,2021
Avocado,Small,130,Tree,2640,2021
Sinegwelas,Medium,150,Tree,2800,2021
Chico,Large,100,Tree,1300,2021
Guava,Small,130,Tree,2560,2021
Lanzones,Medium,250,Tree,1500,2021
Pot1,Small,50,Tool,2150,2021
Pot2,Medium,100,Tool,7600,2021
pot 3,Large,150,Tool,2500,2021
Pot Design,Large,500,Tool,3500,2021
Yellow Bell,Medium,80,Flower,3240,2021
Milendres White,Medium,100,Flower,2500,2021
Kabalyero,Medium,150,Flower,1700,2021
Bridal Boket,Small,100,Flower,2000,2021
Sampaguita,Small,50,Flower,1800,2021
Soil,,50,Tool,2000,2021
Manga Kalabaw,Small,200,Tree,2800,2021
Manga Pico,Medium,150,Tree,3700,2021
